"","Spec_int","B11","Na23","Mg26","Al27","P31","S34","K39","Ca44","Fe54","Mn55","Co59","Ni60","Cu63","Zn66","As75","Rb85","Sr88","Mo98"
"27","cinerea","0.78062594","0.29116073","0.5103169","-0.14469922","1.6906973","1.5914893","0.6900949","0.13973081","1.0773481","1.4246364","0.115121365","0.8420309","1.8866782","0.6135369","1.1896087","-0.8345803","1.4029422","2.256733"
"28","cinerea","4.4463825","3.6231909","-0.38932663","0.844185","2.4998193","1.7317793","1.6609541","-0.78006005","1.4111028","3.3856537","3.0909047","2.5698988","2.8454223","2.530953","0.62414086","-0.36881134","-0.84164757","0.22661567"
"29","cinerea","1.8443636","3.2707655","2.0515924","0.19618736","3.708922","2.7830002","3.434629","0.4887582","3.63419","1.8591824","1.9241476","5.5028205","6.6311913","4.062431","2.320943","0.5039478","1.4546754","2.9197235"
"30","cinerea","0.8779751","1.4094466","-0.12980402","0.19910108","1.4993674","1.0732931","1.9904397","-1.0400614","1.5496651","1.3180612","1.0301034","2.7915394","1.0879661","1.3040808","-0.064894415","-0.43072912","-0.9960899","3.0086553"
"31","cinerea","0.34541366","0.85765964","1.0945158","0.08693127","2.6172807","2.4513698","2.0540113","-0.5126475","2.7854939","2.3938231","1.9632131","3.565596","2.5537515","2.2727208","0.8860471","-0.29215008","-0.05692864","4.307627"
"32","cinerea","0.42446104","-0.09157335","1.4647448","-0.116305284","0.35828012","0.69361967","-0.32968074","0.78523386","0.44785175","0.6229173","-0.40831256","-0.4809621","0.6132693","-0.046628725","0.03127984","-0.98516005","2.2661734","1.8577293"
"33","cinerea","0.5508873","0.6939417","0.21177983","0.24250437","2.0583615","1.9532814","3.1393456","0.3879942","1.1843623","1.0654737","0.69311297","1.8734959","4.0978436","2.7391653","1.262832","-0.8266981","1.5061446","3.2165716"
"34","cinerea","0.62262857","1.6035277","0.08651704","0.09172708","0.5536516","2.3715205","0.9186799","-0.09662687","1.1794326","2.2588696","1.3896986","1.74179","2.061371","1.6378107","0.45246547","-0.4070651","1.090446","3.537174"
"35","cinerea","0.3364075","0.33206216","0.621555","0.13137972","2.1787405","1.1723058","1.0222855","-0.53344285","1.0000741","1.4443989","1.6959379","1.8522685","2.3870378","1.5527389","0.795758","-0.78507894","-0.00070871355","8.045266"
"36","cinerea","0.8103951","0.27934662","0.05214387","0.4851385","1.5851027","1.1654336","0.45220432","-0.49095735","1.0317452","1.0827738","0.30651802","-0.01831929","4.4064736","1.0062733","0.079275355","-0.682099","0.22604021","1.8767292"
"37","cinerea","0.4761137","0.38209364","-1.1421814","-0.1594659","0.9449136","1.9373953","-0.072873674","-0.20726497","2.0633547","1.2952304","0.22113603","-0.5020757","1.1386467","0.5554412","-0.11944661","-1.1961495","0.735564","-0.66443765"
"38","cinerea","1.1436316","0.03950176","-0.4125858","0.6034616","1.7327476","0.72809994","0.8848712","-0.89181197","-0.010439479","1.6128578","0.92419946","1.8423909","2.7668293","1.1696332","-0.008051433","-0.52401376","-0.5937835","4.0225673"
"39","cinerea","1.7245029","4.218804","-1.1501564","0.3862992","0.81848747","0.10505282","2.1090312","-1.5595803","0.70920414","0.7663367","0.31522623","3.1979747","1.0485625","2.146865","0.015684431","-0.26335937","-1.8955882","0.93829745"
"40","cinerea","0.8712083","0.5879285","-0.059218336","0.11898182","1.9412999","1.2975998","0.40761134","-0.13471764","0.59778845","0.6547007","0.65872467","1.2403281","2.6678061","1.4039619","0.123685874","0.13920125","0.6461701","1.6463227"
"41","cinerea","0.6593065","1.050247","0.52179986","0.559791350157569","2.745015","2.4442668","2.1065342","0.8188846","1.8083565","1.8572693","1.4449703","1.5624466","2.3811793","2.0509148","0.44282967","-0.47288707","1.5349945","3.2007327"
"42","cinerea","0.9894041","0.46928972","1.060587","0.07072848","1.9512037","0.91811293","1.0219704","-0.14521335","2.770249","1.4294648","0.9339519","3.4382315","1.6189747","1.5294216","0.19435412","-0.76006305","0.533341","2.8103251"
"43","cinerea","0.7237096","2.2794232","-0.60252804","1.3347276","1.4068543","1.9193066","2.016919","-1.1047423","0.57771844","4.74916","3.5509167","4.53426","1.8605944","2.5549383","1.147177","-0.5005732","-0.9961461","0.75137883"
"44","cinerea","1.6177114","3.2457025","-0.67226386","0.44500193","3.3419044","0.61810315","4.157979","-0.72150284","2.4884279","0.11464695","-0.5870756","1.382111","3.2359347","0.6108942","-0.05296476","-0.64855385","-0.24061193","2.2255423"
"45","cinerea","-0.5465615","3.2886243","-0.5468838","0.7403869","2.5352201","1.6190773","1.4916432","0.118385084","0.6127407","2.4097695","1.256085","2.4160342","2.8433495","2.1939297","0.12214019","-0.6058405","1.0780989","0.71142423"
"46","cinerea","1.5785538","1.4845473","1.827538","-0.023650628","2.7779589","2.037073","0.998213","0.40881288","2.3057349","1.5933229","1.0669374","1.3280241","2.607514","1.5135885","-0.2034688","-0.45068312","3.5315957","2.58956"
"47","cinerea","0.7859424","0.046593674","0.49915156","-0.12357188","0.8826152","1.2222974","1.4225944","0.621056","2.2354898","1.4070387","0.9725654","1.6030389","1.9099593","0.7677473","0.17709236","-0.83969367","2.6215882","1.5380354"
"48","labrusca","1.2515033","0.8567831","0.8801974","0.08018928","1.4519997","1.6392777","1.4214388","-0.9554398","0.0960626","0.81593376","0.67346776","0.4676238","1.7739816","1.3263445","1.8236198","-0.36653924","-0.70128006","-0.75598943"
"49","labrusca","1.2795987","0.28184485","0.6827741","0.03965334","0.38070205","1.008068","1.0619849","-0.8727488","0.4790518","0.41772634","-0.28015622","0.15846364","1.3314048","0.6342317","0.20067813","-0.78839576","-0.21635047","-0.629462"
"50","labrusca","0.4680421","1.9596797","0.40070772","0.2016792","2.0846353","1.6817322","2.2405689","-1.3231341","0.15641285","1.5801339","0.7122779","0.40029895","0.8207379","2.3297782","0.9881987","-0.020235423","-1.3450632","-0.75862706"
"51","labrusca","0.51329124","1.7850121","0.022051727","-0.052755717","0.8615995","2.244212","0.1477451","-0.94421124","0.75099546","0.8640198","0.0646051","-0.16901073","1.3078943","0.5889089","0.9537561","-0.7670625","1.2088292","2.8776917"
"52","labrusca","1.1694825","1.4388773","0.6014194","0.09974918","1.1569588","2.3706481","0.8236828","-0.3259975","0.32244736","2.3528285","1.5331758","0.54474753","2.2363434","2.0601256","0.7375339","-0.8552326","0.5280283","-0.7165533"
