,Spec_int,Indv,Li7,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Se78,Rb85,Sr88,Mo98,Cd111
145,9,156,0.010305769,14.33957642,15.73147042,1528.19073,4.328982306,2537.282911,873.565109,8950.147382,7946.337124,23.94459069,17.01129454,0.076133436,0.282494093,8.203799716,13.87087935,0.003761996,0.455576574,11.38867955,4.34709773,0.143025609,0.001763481
146,9,157,0.00743409,14.08153104,20.17747753,1271.099589,3.089241018,2577.250554,1315.618227,7999.363649,9763.062886,21.12484514,19.86151944,0.087013413,0.388315909,8.665935536,20.83881983,0.003362325,0.163122697,7.710353037,4.500437026,0.197769452,0.006294892
147,9,158,0.009797227,15.59196782,17.11195407,1745.690895,2.862161026,2341.487563,1219.969938,8182.313019,10537.48277,22.03048942,20.78641203,0.15201873,0.33556942,7.691034755,20.17305779,0.003894954,0.799008035,6.647333798,6.353266409,0.144747716,0.006782901
148,9,159,0.007039837,20.17916333,12.64683186,2824.678493,2.685452981,2965.201445,1692.967404,13399.0769,13443.87493,21.6810793,19.82713474,0.1251426,0.308444215,11.59137501,26.2750171,0.004294126,,10.28319996,12.3191123,0.193680307,0.007997121
149,9,160,0.040749758,14.77186225,11.10091121,2216.760514,16.46410513,1753.556017,799.1427005,6390.201897,15322.7274,65.92592154,30.98579441,0.147844449,0.490644126,6.991733649,19.85361034,0.011312332,0.049667067,4.100127825,8.449430596,0.122107817,0.005261728
150,9,161,0.008237151,14.53139722,5.34286809,1900.035879,3.313702573,1899.770217,1016.13669,6881.246109,15700.98661,27.51746809,32.24751774,0.16338121,0.48083979,7.246151681,26.91556114,0.004176717,,4.176231761,8.684672042,0.141688598,0.002795408
151,9,162,0.001380033,13.57742296,6.084082821,2026.374043,3.24747685,1794.690518,1301.531459,8231.221415,8238.324983,24.54498115,24.33190608,0.108550588,0.398536208,6.846920037,11.29227093,0.003287631,,5.621956463,4.869555765,0.180542649,0.001733784
152,9,164,0.006851576,14.2920196,11.17400099,1885.523278,2.865202743,2151.674023,710.1309435,7757.664598,12356.64745,23.7124715,24.89139089,0.096614302,0.397108874,7.920614755,15.05374575,0.004994282,,5.85282352,6.270497338,0.174873465,0.004891983
153,9,165,0.012522512,22.31975228,13.62844873,2879.807624,4.210815583,2102.565597,1271.32101,6830.196294,18130.94955,31.51125197,67.9092823,0.162868246,0.506327306,8.739050644,18.1879372,0.014273814,0.027462417,4.916477842,12.26789549,0.120650369,0.006386656
154,9,166,0.006200396,21.88798987,6.774787453,2317.388747,2.429670179,2740.219964,1282.588518,9368.005022,17220.08946,25.67432466,28.93068447,0.097542169,0.538411753,11.50492893,10.83746423,0.00677522,0.273596757,8.545315177,11.3647781,0.149254059,0.006401583
155,9,167,0.00906455,20.29269409,11.82117021,2152.80362,3.371232027,2442.101236,1121.921913,7207.794897,14688.37798,24.90845739,28.65029713,0.10784638,0.430669805,8.970424317,12.59795709,0.006099393,0.177943241,6.352566854,9.483733236,0.11769532,0.00327222
156,9,168,0.008922055,20.47813245,10.75675858,3460.932993,3.13833754,2535.996824,822.3467575,8171.280772,16042.99161,16.30153692,42.97557993,0.139638547,0.321565148,8.604907,21.90346552,0.003701233,,6.558207969,14.0581919,0.155328111,0.006873139
157,9,169,0.011431865,22.74270574,15.91619961,2351.421826,3.564782214,2800.69787,1402.530547,8934.498542,13779.64305,23.89979371,27.30695785,0.153781746,0.410401816,9.777019425,19.30006123,0.003971663,,7.35055571,8.723524892,0.231076751,0.019087537
