Taxa,PC1,PC2,PC3,PC4,PC5
160_271_017__vDNAlon499A03_C03,0.005238868,0.019990994,-0.015264602,0.06026834,-0.047109563
160_271_018__vDNAlon499A03_D03,-9.076016E-4,0.00908916,-0.025381895,-0.08986984,0.00571958
160_271_018__vDNAlon499A03_E03,-0.0046939645,0.0328263,-0.013201624,0.029017385,0.005294186
160_271_019__vDNAlon499A03_F03,-4.1253524E-4,-0.05010105,0.040669367,0.0526614,0.008098325
160_271_020__vDNAlon499A03_G03,-0.0016516425,-0.029155094,-0.0110581415,-0.005919669,-0.02799419
160_271_021__vDNAlon499A03_H03,0.0017885683,-0.053016018,0.007136617,-0.04021856,0.010019588
160_271_022__vDNAlon499A03_A04,0.008434193,0.024394667,-0.006121703,-0.04255833,0.017009122
160_271_023__vDNAlon499A03_B04,0.0065330947,0.047809012,-0.05863042,0.009971995,0.008819263
160_271_024__vDNAlon499A03_C04,0.0063728546,0.04886095,-0.05383432,0.013393744,0.011538175
160_271_025__vDNAlon499A03_D04,0.0046133185,0.017757101,0.025591835,0.05991971,0.019112224
160_271_026__vDNAlon499A03_E04,0.0016210778,0.013402049,0.02439555,0.05380652,0.018957647
160_271_027__vDNAlon499A03_F04,0.0012822951,-0.0031696386,0.0019724884,0.058882482,0.0061932793
160_271_028__vDNAlon499A03_G04,-9.677205E-4,-0.013952154,0.0068096276,-0.0099799745,0.020480657
160_271_029__vDNAlon499A03_H04,-0.0016756773,-0.011410477,-0.03329645,-0.026541557,0.033012617
160_271_030__vDNAlon499A03_A05,0.0029399365,-0.07563065,-0.01611871,-0.042226024,0.0202882
160_271_031__vDNAlon499A03_B05,0.0027110009,0.001750998,-0.017323656,0.01787453,0.017550835
160_271_032__vDNAlon499A03_C05,-0.003638865,0.05618293,-0.017268375,-0.012618236,0.009863062
160_271_033__vDNAlon499A03_D05,-0.0047623375,-0.013617789,-0.019733785,-0.038494136,-0.02285264
160_271_034__vDNAlon499A03_E05,-0.0077613504,-0.0200514,0.030249657,0.009420127,0.019990874
