IVNO,Spec_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
160_271_87,9,23.0884589,8.598802583,3053.439542,10.66625969,1579.748958,1152.999193,4612.939944,20656.16786,39.59429288,58.35973956,0.123241849,0.811587924,8.02215102,13.51005423,0.006446854,4.005480831,11.53918349,0.092059871,0.005128751
160_271_88,9,14.70080972,10.5516805,1495.959593,4.701854495,2488.688933,1188.340276,12028.06375,8506.695238,22.36879275,15.5727522,0.063701176,0.312967086,9.436093725,13.09253445,0.004182628,8.190337078,4.30001283,0.156636783,0.00266328
160_271_89,9,16.45801903,11.76310672,2069.813601,3.271404114,2333.667716,1232.867877,7664.438707,15937.08507,21.220686,20.52410752,0.263375828,0.571443768,8.811662634,55.75454164,0.002796012,5.460919213,9.993613778,0.141647536,0.006644066
160_271_90,9,12.61551692,7.390215965,1924.959741,3.506030981,2474.209836,1203.964957,7997.092963,13499.15466,22.62353985,20.91256503,0.061198875,0.361586263,10.62635445,10.32545584,0.002618478,4.793282493,7.331699435,0.202069325,0.002148347
160_271_91,9,14.65696551,8.696770325,2297.610966,4.802719334,2888.162986,1262.831436,8563.00123,17197.87689,29.26690372,39.92452907,0.101379631,0.254076987,10.42874914,15.32844446,0.00552546,4.314733379,12.32807306,0.200777256,0.002998688
160_271_92,9,14.16803761,11.11529431,1652.766561,2.896234375,2819.447497,1163.765909,11286.40771,9800.624172,20.61924026,25.57564984,0.065843436,0.303371689,10.8501455,17.83836278,0.001989793,5.842563166,5.494436737,0.141195428,0.014335498
160_271_93,9,16.40856054,7.909496986,2093.098174,4.784634477,1749.474721,895.6413556,6832.053435,13416.37599,26.53520813,23.89223713,0.106835872,0.305192774,6.531565081,27.26134964,0.005786478,4.906620656,8.920459205,0.099540033,0.004368497
160_271_94,9,18.30407052,8.668798087,1812.307351,4.426368698,2910.480062,1515.530872,8329.236834,16948.64148,27.97714444,40.691676,0.083235055,0.712711407,12.51328723,24.12704557,0.003247032,3.788355835,9.301828795,0.218114374,0.00373333
160_271_95,9,14.54129679,5.33800623,1784.806556,3.177821825,2198.063445,937.8686754,7156.800316,17584.87302,24.92108878,34.69119454,0.054438395,0.266971618,9.722961324,9.818700937,0.003192667,4.350786644,11.14379559,0.156003392,0.004712212
160_271_96,9,15.33109839,7.088199538,2247.058361,3.503261042,2575.12366,1109.318683,8012.983777,14091.51963,23.23010668,24.47899986,0.087386701,0.342726509,9.687844615,24.61474222,0.01806939,5.409248972,9.051940476,0.166234923,0.005314242
160_271_97,9,20.51254385,9.929426887,2059.156058,3.82351231,2032.976699,1278.766662,6142.163291,20364.10851,30.2784263,47.93143826,0.078977965,0.439710481,8.606777368,15.07223825,0.032061363,3.91752561,12.45262956,0.161509289,0.003012962
160_271_98,9,21.61321448,5.838768791,3493.685014,16.69214294,3192.969782,1087.894053,6352.626644,25738.51212,56.56095733,58.28731004,0.182681485,0.640157827,9.8961868,15.69525322,0.01718276,3.408263964,18.71635494,0.17843758,0.009240832
160_271_99,9,19.76891272,10.97257222,2750.464569,2.696763047,2901.05759,1165.364805,10140.53822,14811.98667,21.72289878,23.00078004,0.121944152,0.388690998,8.528681136,14.93067803,0.004829637,7.317153741,12.77926417,0.119256788,0.00960536
160_271_100,9,18.42688234,11.0524267,2418.830621,3.346357503,1971.383172,599.3909829,6047.92414,14807.21003,24.47140496,25.18441011,0.126978851,0.48202871,8.45504422,22.97116182,0.005684673,6.496376047,9.066954226,0.116083832,0.00900515
160_271_101,9,19.41870486,17.90053389,2164.489148,4.26765129,2510.331982,997.8976305,9151.757266,13073.88654,28.75145941,19.04063217,0.097144451,0.390610706,9.368113921,28.33929845,0.005070807,11.93515835,8.416099432,0.136676181,0.01278868
160_271_102,9,34.03846361,9.610765764,2899.687647,3.628026199,2485.506621,1565.928127,6461.287322,24922.98459,29.56818615,39.71944123,0.068492017,0.499388639,10.74813615,13.22774692,0.004843498,5.252479039,16.32878581,0.136535516,0.009241259
160_271_103,9,14.10320456,7.900498541,1868.778319,2.319624824,2959.114018,1521.132013,12610.27107,8730.711386,17.12092911,17.14433229,0.055189109,0.237066467,9.979768347,11.58847939,0.001893223,8.458452784,4.395437198,0.162530145,0.004805814
160_271_104,9,14.59566729,9.558536515,1726.509834,2.888594704,2547.283229,1110.892538,9549.27197,11010.83486,19.25610504,15.89814873,0.159250574,0.455279823,9.558393903,28.34340152,0.001915496,11.50645093,9.005943412,0.10986015,0.008232438
160_271_105,9,22.16445274,16.5549873,2891.321125,3.471198478,2704.015552,1438.573531,8815.661835,18043.49358,24.63660822,25.94797284,0.112145406,0.487476597,11.69482839,16.02164792,0.00268032,7.680650673,14.34848588,0.140956327,0.015691765
160_271_106,9,13.13583824,10.64064413,1939.219143,2.839540217,2952.673066,1625.189811,12813.08472,9491.558134,19.15862852,16.71851691,0.116387357,0.378843408,11.35125481,18.63938728,0.00176462,9.847324219,7.180662491,0.149512021,0.004499523
160_271_107,9,23.12970998,11.16849903,2896.450411,3.631450553,2767.792584,1574.577173,7591.057316,19999.87608,28.62819177,29.17583867,0.085512898,0.468017348,9.872780868,15.82191107,0.003451448,5.04606134,14.82956627,0.122614373,0.007831449
160_271_108,9,17.93170497,12.41613457,2388.787656,3.063870582,3133.929921,1801.42114,8955.937911,15404.95732,26.45566518,26.19945496,0.096094309,0.387441493,10.76371232,22.28840106,0.002904985,8.206306427,10.75692957,0.148455578,0.005415611
160_271_109,9,24.89793443,10.43983008,2995.477239,10.10014985,2237.540021,1571.229884,5712.84149,26557.37849,45.43077982,79.75166817,0.113131737,0.663038098,9.276699344,12.1112629,0.005207731,3.278922305,17.354816,0.097913349,0.004559495
160_271_110,9,32.43682791,13.3946891,3351.038547,3.625461715,2611.979227,949.677664,6353.722564,21986.48343,26.2648323,33.89378145,0.12962185,0.592165122,8.6843114,19.49503192,0.00603451,4.270767083,16.90090566,0.151985455,0.012194253
160_271_112,9,22.54975088,16.27092564,2912.74528,4.210699683,2802.344317,2719.307666,11317.46672,16850.55865,30.4381135,25.28346255,0.108848037,0.484501555,12.38696718,24.45799437,0.004921748,6.085139146,15.62073823,0.17913264,0.008955436
