leaf_stage,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
1,0.28759235,0.42433745,-0.111620806,-0.036037527,0.07522491,0.06910484,0.32467863,-0.6966311,0.1635063,-0.010035606,-0.041184295,0.001807983,1.3422965,-0.12486198,0.07633465,-0.34060895,-0.4551465,-0.62813866,0.095443465
1,-0.16818102,-0.31208235,0.06845571,-0.07206293,-0.38002527,0.07104204,0.074154146,0.46556318,-0.18481573,-0.29881802,-0.22804126,-0.086720265,0.26916137,-0.080898225,0.062045377,0.13541582,0.9201766,-0.9289276,0.07394628
1,0.3259276,3.0684211,3.4144468,-0.0677996,0.27630875,0.06948156,0.5134292,0.29735386,0.037677538,-0.16679546,-0.37009874,0.13938108,0.87810683,0.06501196,0.098347574,-1.136597,0.49870855,-0.7580065,0.06712935
1,-0.18304513,0.6441056,0.0779076,-0.050407637,0.526954,0.071240194,1.6379458,-1.4551078,-0.2866266,-1.0341774,-0.7649984,0.36859098,0.47938973,-0.17268722,0.14371572,-0.63471067,-1.0999328,-0.62612116,0.08566235
1,-0.40791327,-0.8618911,0.343867,-0.06756937,0.10214628,0.071497895,0.75374234,0.28067663,-0.02281617,1.3652705,0.3560624,-0.038750596,0.02503248,-0.3806247,0.062275,-1.0581346,-0.066053316,-0.82475203,0.04615072
1,0.3543963,0.28518394,0.45981073,-0.04724302,0.1646359,0.06951118,0.3000102,-0.36322418,0.11396691,-0.19429749,-0.20217434,0.20424221,1.0949188,-0.39120284,0.07316084,-0.73498803,-0.46271873,-0.7171143,0.12003931
1,0.002119173,0.3731704,1.1007277,-0.031739414,1.6587104,0.07269223,-0.26962298,0.50767606,0.3486991,0.115089,-0.32155704,-0.030573381,0.026141807,-0.2901867,0.083897814,-1.1720761,0.1127919,-0.9255583,0.073680304
1,0.5442147,2.1710966,2.0498571,-0.08103577,0.2970621,0.07131714,0.04638157,-0.4958966,-0.109373964,-1.1278692,-0.47018686,-0.05288842,1.0951113,-0.094498165,0.08583205,0.54911965,-0.38739362,-0.06411867,0.058083005
1,-0.34828147,-0.90976703,0.11958493,-0.095580935,-1.591467,0.06833817,-1.0618724,0.6497295,-0.172079,-0.85745984,-0.8519631,-0.124595836,-0.23468322,-0.5684097,0.058363456,-1.1656748,0.4954077,-0.7233972,0.115614705
1,-0.13824739,0.29236042,0.53827494,-0.06809994,-1.356705,0.06900455,-0.22170801,-0.62481755,-0.27151954,0.21251924,-0.011661408,-0.21947546,-0.56545645,-0.38932955,0.08257814,-0.34242418,-0.17271549,-0.5525124,0.03072932
