IVNO,genus_species,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
483159,4,64.67202093,55.76609604,6527.753004,15.56189827,3246.938841,2523.072239,11235.27514,19641.0925,68.69955781,398.3530213,0.173786504,1.785976407,59.6835484,163.3947712,0.026433899,0.690786012,24.52283457,0.029853634,0.035313761
483151,4,55.66079107,78.93507131,3573.749135,62.08807764,3117.743944,2252.056193,9549.75884,20028.53518,135.7881971,788.8181985,0.301243505,1.056859036,35.90714637,183.0176658,0.059386469,0.941763801,23.16023424,0.055518208,0.075326512
588675,4,69.79660342,188.9552157,3293.946332,43.50774651,6718.585116,3337.42037,9081.36459,19041.07249,87.16013495,1434.029234,0.382758576,0.879218396,56.7392777,179.0519322,0.041892109,0.805879941,28.09151069,0.616876902,0.031062979
597172,4,72.05363714,136.0943595,5084.459037,31.50690571,4949.418185,3310.261988,7157.025253,21650.86513,65.11487945,1255.154879,0.379042839,0.84347128,54.73485168,260.9916984,0.020003073,0.652535452,20.34942716,0.098836822,0.054627295
597203,4,61.8764811,148.9455718,6719.89826,39.63654807,3838.119442,2899.919274,6564.123072,23816.62625,88.1527849,793.4937003,0.263828951,0.612403532,36.21209409,270.4727933,0.027084985,0.708840822,26.40515296,0.087340733,0.070780152
597228,4,63.47062916,101.3858613,4704.220514,17.22771423,6919.575231,3724.729709,8817.666307,24934.64069,51.45589202,1031.418497,0.274755484,0.621709661,40.61288919,148.3777476,0.01552383,0.378742669,36.93121048,0.786004369,0.036531136
588307,4,53.08465661,125.6728464,4271.008013,27.96409776,2228.971904,3365.004067,7864.328659,18777.20457,76.37364139,599.6510241,0.218220638,1.122034809,43.0835641,155.702007,0.015256926,0.87544244,25.00109458,0.047588443,0.061870868
588138,4,50.06963717,71.03190587,4030.250448,29.38584157,2005.342222,3027.901309,5958.858362,20643.5098,126.6284508,813.8278437,0.408636071,3.241222259,49.76266069,149.3305602,0.08307219,0.486840937,24.93296391,0.056200459,0.057816504
588169,4,70.50952099,71.97316296,5435.768533,16.28759315,3615.783752,2456.624887,6570.438882,25631.79356,45.72787687,660.661223,0.282506287,0.471521031,27.25224705,135.6038006,0.027283703,0.977704727,33.14322693,0.305973405,0.024640884
588277,4,60.79823562,158.04091,4488.192774,31.40457242,3062.118598,4534.496858,8024.559961,25943.81539,89.4514653,1540.571377,0.400280024,0.921362191,42.45514053,225.4812592,0.027775248,0.79080959,33.03784288,0.061475121,0.068297214
483155,4,66.74112449,75.82483731,4637.724622,37.44514187,3218.610807,2775.268563,11229.34659,23013.23992,98.16533237,705.2517966,0.29177785,1.122802163,35.48873703,167.4180097,0.044309853,0.771235444,31.95216353,0.05239698,0.041925824
483150,4,59.17993461,66.87827871,4919.372246,33.4665341,4317.819371,3235.20277,8640.46687,23059.11925,80.92715022,888.0058598,0.286154655,1.070596785,60.61267813,161.0602863,0.032249406,0.617871939,35.88442875,0.046257225,0.078332869
483147,4,61.10088986,124.0286293,4286.674399,25.38258576,2533.207361,2846.333024,11557.26678,27148.36791,66.11877144,1082.206505,0.308540524,1.546194334,28.77246792,199.2140199,0.037819455,0.769259268,30.54822367,0.034306312,0.047960781
483149,4,105.0847663,144.2921113,4673.344842,52.50138052,3659.584672,3669.332594,10922.28694,25168.57111,107.3281366,1351.202427,0.373771496,1.342703686,41.56209414,197.9343388,0.038882178,0.825666741,24.61322824,0.035133945,0.036564323
588194,4,57.33041087,87.24852634,4780.954979,21.42226395,4030.518752,2542.607356,8056.4922,19613.57658,83.03409656,990.1102378,0.296576924,1.394761529,40.6415527,159.3083944,0.037829028,0.536579032,25.5157509,0.137649839,0.042519524
483153,4,76.02164304,87.93530466,3513.531877,26.25826934,2626.060857,1773.472033,6319.838956,28217.06757,79.78686491,505.6858945,0.232131679,0.981339258,45.24303646,111.0333271,0.029898048,0.386357223,35.78915681,0.053817763,0.0340688
483154,4,77.57125132,43.58125645,5199.651682,29.69738611,2356.095966,2314.525043,10187.3246,32974.81288,96.39731755,1022.72819,0.249598418,0.894774916,23.29466074,142.8415668,0.029155384,0.55841791,45.9552143,0.045103272,0.067125304
483146,4,64.90583259,55.68169161,7646.292711,24.52974003,2609.328321,2127.53973,5206.664836,27374.49924,73.48414512,596.2573449,0.297386864,1.320081003,44.72372157,184.0517002,0.035244066,0.382056022,30.65366635,0.033555043,0.07742849
