Indv,Li7,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
E_210,-0.363286195,-0.050147074,-0.265255979,0.472937908,-0.418197014,-0.39842347,-0.364546437,-0.84619254,1.183935211,-0.34339206,-0.099630199,-1.204322165,-0.449043475,-0.630192633,-1.053735817,-0.663837145,-0.670777067,0.912290538,1.407343822,-0.205226251
E_212,-0.203540244,-0.539032194,0.006587047,-0.665023494,-0.328399527,-0.195190929,0.292476705,-0.029144159,-0.959659219,-0.503784169,-0.333979137,0.300686552,-0.349744959,-0.36556826,-0.778204367,-0.294922045,1.155216314,-1.089665136,-0.020974839,-0.23114216
E_213,-0.437062057,-1.006816512,0.009002995,-0.859531596,-0.461141261,0.361107492,0.218298383,0.512328196,-0.625919049,-0.631587358,-0.805765618,-1.229277029,-0.908655438,1.257723014,-0.606304824,-0.274181451,-0.181691477,-0.916624826,2.462071911,-0.27963855
E_214,-0.622710147,-0.22822527,-0.369381803,0.395588885,-0.396794722,1.178014697,0.526641261,1.546353559,-0.206879136,-0.519855324,-0.432129577,-0.991647119,-0.654849793,0.752782677,-0.458299329,-0.429373816,0.545950505,0.494605324,1.362886761,-0.261589618
E_146,-0.552062538,-0.561544259,-0.212390888,-0.892247926,-0.473636231,0.641363453,0.114123402,0.501058315,-0.574254313,-0.64531639,-0.709533319,-0.623379323,-0.691415543,0.369865698,-0.731456707,-0.935613466,1.526367926,-0.925921019,1.026831701,-0.220245365
E_145,-0.262964434,-0.61904113,-0.227689416,-0.891761233,-0.261596906,-2.038396337,-2.282646191,-0.894946944,-0.460187113,-0.034184272,0.537179364,0.030728615,0.789638152,-1.049727397,-0.383630181,-0.130339329,0.061599069,-0.925358555,-1.088826438,-0.215477621
E_144,-0.41693252,-0.950911851,-0.508536377,-0.948858846,-0.325854231,-1.226848243,-0.769773034,-0.917648522,-0.486263235,-0.019954675,-0.482638187,-0.657386738,0.110578856,-1.116265558,0.049701734,-0.337052372,-0.603127144,-0.858814442,-0.971104008,-0.314344587
E_90,-0.483385821,-1.415087435,-0.301552456,-0.765026164,-0.377089401,0.370963055,-0.344201396,0.166341555,-0.720836729,-0.558877709,-0.885659555,-1.025428259,-0.783396699,1.092249785,-0.935397299,-0.760038505,-0.430108417,-0.995046251,0.899498226,-0.261579455
E_12,0.435525653,-0.532184487,-0.473472167,0.298316183,0.400781426,0.101931772,-0.090923516,-0.868524382,1.003165546,0.319603433,0.65167234,0.180305562,0.546201422,-0.049502485,-0.362438138,0.049092649,-0.976030681,0.492891514,0.455997532,-0.211961505
E_14,-0.133447395,-0.111308254,-0.371637395,0.356649718,-0.194764463,-1.59705104,-1.159612965,-1.364859201,0.587466983,-0.233283854,1.227778287,-0.089562687,-0.022362587,-0.706611095,-0.471486621,-0.522404509,-1.011755533,0.038925138,-0.862399882,-0.183064933
E_15,1.531042078,0.35121974,-0.230587692,-0.118057367,1.435440493,-1.164274509,-0.362327709,-0.677299794,1.636181084,1.657463919,4.560629293,2.012712344,1.125939448,-0.988879275,0.428208511,0.750871951,-0.930508408,1.103476302,0.368037588,-0.113209884
E_53,-0.707883666,-0.606279459,-0.213210565,-0.496759747,-0.454122542,-0.15453959,0.601880489,1.299363473,-1.566262647,-0.679539548,-0.864857774,0.350794739,-0.104660093,1.327877977,-0.916653957,-0.690141127,1.025406275,-1.049749834,-0.217011329,-0.267536155
E_153,-0.521449107,-0.702103887,-0.129311525,-0.518700919,-0.488527935,-0.094153329,-0.301861821,-0.106320518,-1.049182969,-0.580055798,-1.007428276,-0.426392033,-0.544771601,-0.701149785,-0.752672773,-0.624167826,0.858388784,-0.801051949,-0.602328085,-0.277781727
E_187,-0.020592845,-1.309801818,-0.22892756,0.173256325,-0.12929009,-0.970113599,-1.147029487,0.5981883,-0.582617128,-0.3960644,1.956608159,0.925689225,0.188032057,-1.030853769,0.540041286,-0.375745017,0.279605554,-0.404178532,-0.884385661,-0.220610196
E_162,-0.743248705,-1.198551683,-0.386040178,-0.5879591,-0.405717137,-1.312718896,-0.052930737,0.300535487,-1.724648028,-0.457411418,-0.73846572,-0.292459964,-0.630945222,-1.576154597,-0.805396948,-0.623227748,-0.14004331,-1.60416065,0.427806615,-0.275083482
E_161,-0.421034119,-0.983801464,-0.433985936,-0.80854266,-0.398384465,-1.052357214,-0.904935481,-0.473221364,-0.300708361,-0.300442155,-0.397719005,0.55627612,-0.291369543,-1.294283991,1.295349333,-0.441450892,-0.64609793,-0.660331788,-0.423561701,-0.240502009
E_168,-0.388850619,0.354874797,-0.083786361,1.91674819,-0.417801304,0.524056034,-1.483467255,0.266179686,-0.235450882,-0.892726154,0.064096471,0.188757859,-0.948519491,-0.334958269,0.621410547,-0.53866532,0.187677729,0.669033495,-0.124693271,-0.107673488
E_67,-0.50038189,-2.081845645,0.403736037,-2.613343074,-0.556681603,-4.07045802,-3.263471761,-1.772089148,-2.4052177,-1.317069444,-1.373779959,-0.910581715,-0.79739389,-4.387326665,-0.204349253,-0.689667612,-1.251548637,-2.155724895,-2.946364171,-0.200962819
E_57,-0.407863489,-0.36651646,-0.141008388,-0.782507983,-0.333479135,0.27850854,0.435816798,0.22907468,-0.354563495,-0.391436552,-0.190809349,-0.182629916,-0.512670087,-0.379575024,0.819140162,-0.744660526,-0.265951529,-0.45398364,1.501307358,-0.181169933
E_181,0.17165501,-0.626956449,-0.383972299,-0.147260483,0.109508567,-1.279810316,-0.360511777,-1.567192726,1.313304853,0.372591749,0.359845668,-0.117995395,0.02865492,0.047398282,0.663848665,0.240568172,-0.71788657,0.807229332,-0.758038114,-0.259186918
E_179,-0.091049958,0.372209889,-0.072478639,-0.815504584,-0.161253921,-1.028480884,-0.01252594,-0.543308322,0.016787121,-0.206272738,-0.109544212,-0.515639528,-0.547106088,-1.396939934,-0.768879602,-0.528555906,0.424471249,-0.136773782,-1.194960598,-0.23420745
E_28,0.872178487,0.59674234,-0.401804009,-0.388387988,0.885692751,-0.584546039,1.273590542,-0.761452909,1.78072003,1.131481065,2.150577075,0.407597634,0.919369287,-0.582684316,-0.16264309,2.677856986,-0.957821791,1.23875211,-0.344561075,-0.15386982
E_33,0.211103086,-0.465670333,-0.41001036,-0.650202705,0.175970491,-0.768919816,-0.564613821,-1.085621496,0.287134174,0.01414689,1.342510225,-0.364100852,0.345293202,-1.376557741,-0.850274495,-0.092413795,-1.454376794,-0.313688518,0.097777125,-0.174816871
E_58,0.012745101,-1.011855454,-0.34382892,1.338644188,0.044884882,-0.509412811,-0.030680813,-1.46850283,1.707071497,-0.082584078,0.486484812,0.149109981,-0.114076381,-0.775617044,-0.317436968,-0.229066101,-0.840407248,1.631356518,0.73646579,-0.209447466
E_56,0.679834867,-1.092230627,-0.291853419,-0.652902971,0.729227125,-1.076952256,0.508459174,-0.092165261,-0.611796272,0.472201161,0.153949821,0.026885957,0.544896155,-0.366559162,-0.814453885,0.19382946,0.179722822,-1.024661968,-0.015315857,-0.219886855
E_42,2.932794209,-1.367114194,-0.207293393,0.083925777,2.992959519,-0.262969111,-0.941637951,0.012129155,-0.301802125,2.711778717,1.838110382,2.589783813,1.41746369,-0.641463158,-0.231730758,2.190502922,-0.418323415,-0.227053473,1.329797996,-0.125522708
E_47,0.13617931,1.954901683,-0.361765503,1.330924107,0.5923321,0.842353636,2.408406259,0.330673291,1.464132088,0.540656145,2.243401491,0.506477796,2.063059235,2.39326419,1.18092377,1.011625972,-0.682612346,2.503011716,0.815520693,-0.161949212
