Indv_ID,ZLi7,ZB11,ZNa23,ZMg26,ZAl26,ZP31,ZS34,ZK39,ZCa44,ZFe54,ZMn55,ZCo59,ZNi60,ZCu63,ZZn66,ZAs75,ZRb85,ZSr88,ZMo98
31,-0.392640354,-0.986296395,-0.046595014,-0.862595069,-0.435885256,-0.887886749,-0.512034068,-1.00159719,0.197511078,-0.387668977,0.518444801,-0.66539896,-0.523313002,-0.787715717,-0.986077063,-0.660714729,-1.414401398,0.053806802,0.284760733
32,0.597040646,-0.329798267,-0.41001036,-0.424450183,0.52154093,1.443876305,-0.083852385,0.309485419,0.572024463,0.416754007,1.698352084,0.84180578,0.137894781,0.533400442,0.159817877,0.225302233,-1.143464991,0.6570794,0.942185896
33,0.211102646,-0.465670333,0.166253695,-0.650202705,0.175970491,-0.768919816,-0.564613821,-1.085621496,0.287134174,0.01414689,1.342510224,-0.463302563,0.345293202,-1.376557742,-0.850274494,-0.092413795,-1.454376794,-0.313688519,0.097777124
36,0.775218646,0.810085581,0.136995171,0.953925686,0.409727834,1.024448601,0.181556292,-0.005759873,1.516672667,0.440671753,-0.201237966,2.012205615,1.080790973,-0.022611747,4.363007695,1.320257308,-0.541058168,1.987320107,0.560537794
37,-0.069999354,0.310577426,-0.406557047,0.128382327,-0.104100485,-0.807015681,-0.667238751,-0.451557973,-0.149155838,-0.197649227,-0.132937828,-0.398418424,-0.128555216,0.123785946,-0.268137565,-0.436390664,-0.908368578,0.211577453,-0.386179135
39,1.870531646,-1.30874592,0.13851372,0.300096151,1.316808244,-0.337242107,0.163433813,-0.675272304,0.267826355,2.036589751,2.391062788,2.26380959,1.439568948,-0.286426852,0.173702583,2.213609249,-1.183954685,0.603239194,0.212722674
41,1.340418646,-0.144589738,-0.207293393,-0.67002278,1.189735937,-0.828221111,-0.26048249,-0.849184079,0.199414349,1.026001224,0.515587885,0.483569395,1.489647922,-0.754432422,-0.493541515,0.37110343,-1.118960582,-0.027638968,0.27925704
42,2.932794646,-1.367114194,-0.035552165,0.083925777,2.992959519,-0.262969111,-0.94163795,0.012129155,-0.301802125,2.711778717,1.838110382,2.490582102,1.417463691,-0.641463158,-0.231730758,2.190502922,-0.418323415,-0.227053474,1.329797996
44,-0.281661354,0.212770646,-0.361765503,-0.639722176,-0.447225395,0.486569271,2.077322455,1.418127214,-1.002624726,-0.348243522,-0.669945363,-1.049637364,-0.585369663,1.093992323,-0.434017891,-0.752678175,1.181889628,-1.213367803,1.175781694
47,0.136179646,1.954901683,-0.12355653,1.330924107,0.5923321,0.842353636,2.408406259,0.33067329,1.464132087,0.540656146,2.243401491,0.407276084,2.063059235,2.39326419,1.18092377,1.011625972,-0.682612346,2.503011715,0.815520692
48,-0.208069354,1.411715855,0.119470287,1.226407983,-0.26725395,0.310750066,1.156136121,0.683335622,0.608425145,-0.037667057,2.089258152,0.071008325,0.261674458,0.050463099,0.238535539,-0.08955676,0.220140295,0.973021627,0.085425924
49,-0.447445354,1.545667463,-0.203959036,0.880496859,-0.471532725,-0.496228125,-0.318638591,-0.467044294,-0.368347215,-0.610897897,-0.842050253,-0.712760296,-0.422602214,-0.804069366,-1.00321847,-0.03852493,0.345584973,-0.223032133,0.241089127
50,-0.461362354,-0.124028097,0.087154303,0.141790404,-0.403715303,0.323301138,-0.314515601,-0.34610521,-0.091269919,-0.507715138,-0.628832779,-0.801286196,-0.708789974,0.263387986,-0.601582481,-0.065698657,-0.457853784,-0.13667175,3.442418852
51,-0.236583354,1.00716179,0.142058557,0.010536726,-0.337819916,0.184520457,1.26923588,-0.125890134,0.569478929,-0.233054313,-0.392519967,-0.648666604,-0.203619666,0.741677961,-0.805047001,0.888662041,-0.456900826,0.594209135,0.210987203
52,-0.174082354,-0.018828234,0.399717097,-0.954944928,-0.265997732,0.415150447,-0.74729553,1.558919021,-1.214067564,-0.548082456,-0.908454057,-0.773832906,-0.484712247,1.087522606,0.125966301,-0.860693274,0.589079006,-1.135398522,1.021349241
55,0.175889646,0.883009817,-0.291853419,0.667740496,-0.008052178,0.431706224,-0.407221342,-0.016001628,0.905713091,-0.273631013,0.507203011,1.108533432,0.498685214,-0.392555565,4.026103039,0.123018582,-0.439922446,1.406715752,0.017466754
56,0.679834646,-1.092230627,-0.141008388,-0.65290297,0.729227125,-1.076952256,0.508459174,-0.092165261,-0.611796272,0.472201161,0.15394982,-0.072315754,0.544896155,-0.366559163,-0.814453884,0.19382946,0.179722822,-1.024661969,-0.015315857
57,-0.407863354,-0.36651646,-0.343828921,-0.782507983,-0.333479135,0.27850854,0.435816799,0.22907468,-0.354563495,-0.391436552,-0.190809349,-0.281831627,-0.512670087,-0.379575024,0.819140162,-0.744660526,-0.265951529,-0.45398364,1.501307357
58,0.012744646,-1.011855454,-0.012753825,1.338644188,0.044884881,-0.509412811,-0.030680813,-1.468502831,1.707071497,-0.082584078,0.486484811,0.04990827,-0.11407638,-0.775617044,-0.317436968,-0.2290661,-0.840407248,1.631356517,0.73646579
59,0.055937646,-0.223386946,-0.07701854,0.65218551,0.048474664,-0.408448526,-0.060374651,-0.577286509,0.387008251,0.025333745,-0.564507546,-0.200618908,0.199286703,-0.76431868,0.397440009,-0.10706535,-0.892079951,0.116122097,0.510189922
60,-0.195418354,0.987111525,0.060827054,1.086166591,-0.391614522,-0.192396768,1.73809128,-0.545538303,1.132231409,-0.416712564,-0.192938967,-0.282782269,-0.733454572,0.171483095,-0.81451104,-0.597433878,-0.665266904,1.245791569,-0.879070938
61,0.237729646,-0.346610572,-0.109950434,-0.427878802,-0.003892263,-0.27104938,1.79681822,-0.573509585,0.882851028,0.000243638,2.14254453,0.527177372,0.199656498,-0.883462254,2.735523323,0.055233618,-1.041613485,0.527704319,0.136698546
62,-0.131890354,-0.150463509,0.62707384,-0.420747433,-0.187126938,-0.685177264,0.391783539,-0.44528804,0.222334091,-0.067702263,0.188416481,0.031225081,0.483131299,-0.25900103,-0.249521426,-0.4484246,-1.300999386,-0.489820491,1.93846993
63,-0.198285354,0.628976405,-0.166401578,-0.901487766,-0.207121657,2.629974508,2.016144677,2.169915212,-0.90820966,-0.247841038,-0.849046431,-0.848323148,-0.347454507,2.278970588,-0.42427238,0.156256813,0.006257089,-1.17839312,1.956110196
65,-0.384360354,-0.359713905,0.403736037,-0.143687164,-0.327211542,1.143899347,-0.319147364,0.897788475,-0.684188344,-0.46730228,-0.656493954,-0.759010965,-0.797297855,0.694695056,-0.590265347,-0.633076892,-0.053249376,-0.464037807,2.178448353
