,MO_ID,E_ID,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42
0,MO_464,E204,3703.5,4967.5,3703.5,4935.5,3453.5,5009.5,3405.5,5011.5,4129.5,5067.5,4095.5,5065.5,4109.5,5029.5,4243.5,4505.5,4221.5,4537.5,4201.5,4503.5,3541.5,3985.5,3545.5,4013.5,3505.5,4009.5,4853.5,6223.5,6013.5,4939.5,5689.5,4759.5,6069.5,3907.5,5297.5,2355.5,4925.5,2611.5,4457.5,2207.5,3333.5,1703.5
0,MO_466,E207,3566.5,4287.5,3556.5,4259.5,3521.5,4249.5,3473.5,4257.5,3829.5,4311.5,3802.5,4309.5,3819.5,4282.5,3962.167,3927.833,3957.5,3943.167,3930.167,3926.5,3514.5,3640.167,3517.167,3662.167,3482.5,3648.167,4636.5,5225.5,5488.5,3891.5,5320.5,3855.5,5523.5,3354.5,4977.5,2214.5,4601.5,2450.5,4287.5,1983.5,3287.5,1615.5
0,MO_467,E206,3557.5,5055.833,3549.5,5001.167,3778.833,5025.167,3856.167,5019.833,3055.5,5158.5,3099.5,5159.5,3080.5,5124.5,2980.5,4371.5,2990.5,4402.5,3037.5,4374.5,3538.167,4023.5,3540.833,4058.167,3582.167,4042.167,2084.5,6073.5,984.5,4658.5,1284.5,4550.5,1025.5,3476.5,2549.5,3454.5,2117.5,2986.5,2285.5,2680.5,2955.5,1227.5
0,MO_468,E209,3380.5,4969.833,3381.833,4948.5,3347.167,4921.833,3313.833,4921.833,3567.167,5037.833,3545.833,5036.5,3556.5,5019.167,3778.5,4703.833,3766.5,4717.167,3758.5,4691.833,3433.167,4426.5,3431.833,4451.833,3398.5,4434.5,4086.5,5594.5,4596.5,5062.5,4492.5,4862.5,4715.5,4677.5,4661.5,3741.5,4370.5,3846.5,4226.5,3593.5,3986.5,3212.5
0,MO_469,E210,3407.833,4812.167,3398.5,4788.167,3282.5,4828.167,3245.167,4828.167,3674.5,4831.5,3648.5,4828.5,3657.5,4808.5,3752.5,4427.167,3744.5,4437.833,3729.833,4424.5,3284.833,4190.167,3287.167,4202.167,3264.167,4202.5,4181.5,5341.5,4721.5,4621.5,4568.5,4561.5,4751.5,4087.5,4475.5,3304.5,4088.5,3403.5,3786.5,3133.5,3026.5,2701.5
0,MO_470,E211,3552.833,5020.167,3552.833,4997.5,3499.5,4994.833,3460.833,4988.167,3880.833,5065.5,3851.5,5068.167,3860.833,5041.5,3990.833,4631.833,3985.5,4643.833,3974.833,4626.5,3525.833,4298.167,3531.167,4312.833,3497.833,4307.5,4790.5,5693.5,5303.5,5003.5,5141.5,4895.5,5369.5,4373.5,5003.5,3153.5,4715.5,3357.5,4355.5,3027.5,3155.5,2367.5
0,MO_471,E213,3492.167,5436.167,3481.5,5409.5,3650.833,5441.5,3700.167,5430.833,3217.167,5525.833,3249.833,5522.5,3231.167,5498.5,2928.5,5004.5,2940.5,5017.5,2955.5,4995.5,3483.167,4530.5,3484.5,4547.167,3513.167,4538.5,2540.5,6360.5,1736.5,5346.5,1868.5,5244.5,1643.5,4657.5,1961.5,3523.5,2327.5,3661.5,2729.5,3367.5,3491.5,2743.5
0,MO_472,E214,3013.167,5087.833,3014.5,5062.5,3130.5,5133.167,3174.5,5129.167,2712.833,5029.833,2730.167,5036.5,2726.833,5013.833,2655,4618,2661.5,4630,2677,4615.5,3165.5,4485.5,3165,4501,3199.5,4494.5,1963.5,5564.5,1494.5,4689.5,1714.5,4617.5,1518.5,4219.5,1782.5,3203.5,2134.5,3317.5,2410.5,3011.5,3357.5,2401.5
0,MO_473,E215,3372.5,5342.5,3370.5,5310.5,3476.5,5334.5,3526.5,5320.5,3060.5,5391.5,3083.5,5393.5,3072.5,5367.5,2790.167,4879.167,2800.833,4892.5,2814.833,4869.167,3399.5,4517.5,3404.5,4537.5,3434.5,4525.5,2276.5,6197.5,1380.5,5121.5,1640.5,5025.5,1444.5,4491.5,1737.5,3291.5,2109.5,3595.5,2645.5,3147.5,3697.5,3321.5
0,MO_474,E217,3052.5,4906.5,3044.5,4874.5,3104.5,4886.5,3150.5,4892.5,2713.5,5013.5,2736.5,5011.5,2721.5,4988.5,2587.5,4535.167,2600.833,4546.5,2612.167,4525.833,3130.5,4147.5,3124.5,4168,3151.5,4160.5,1962.5,5632.5,1432.5,4665.5,1580.5,4621.5,1422.5,4111.5,1983.5,3174.5,2259.5,3399.5,2493.5,3027.5,2825.5,2787.5
0,MO-302.jpg,E2,7711.5,10629.5,7669.5,10572.5,7729.5,10536.5,7810.5,10521.5,7090.5,10725.5,7129.5,10728.5,7111.5,10683.5,7027.5,10029.5,7051.5,10071.5,7078.5,10035.5,7705.5,9504.5,7693.5,9558.5,7747.5,9549.5,5974.5,11756.5,4846.5,10262.5,5200.5,10142.5,4876.5,9326.5,5632.5,7394.5,6076.5,7730.5,6472.5,7310.5,8038.5,6032.5
0,MO-304.jpg,E7,7866.5,12032.5,7755.5,11969.5,7866.5,11942.5,7926.5,11945.5,7185.5,12191.5,7230.5,12191.5,7209.5,12158.5,6978.5,11390.5,7017.5,11411.5,7035.5,11381.5,7809.5,10901.5,7815.5,10958.5,7866.5,10940.5,6111.5,13141.5,5085.5,11737.5,5493.5,11545.5,5241.5,10753.5,5799.5,9487.5,6369.5,9763.5,6771.5,9193.5,7947.5,8455.5
